,feature,hours_in_top20,percentage_of_24_hours
1,west_mw,24,100.0
2,monthly_min_mw,24,100.0
3,essa_mw,24,100.0
4,northwest_temp,24,100.0
5,northeast_dewpoint_temp,24,100.0
6,southwest_mw,24,100.0
7,northwest_snow_indicator,24,100.0
8,niagara_mw,24,100.0
9,monthly_peak_mw,24,100.0
10,northwest_cooling_deg_hrs,24,100.0
11,northwest_dewpoint_temp,24,100.0
12,manufacturing_output,24,100.0
13,population_size,24,100.0
14,northeast_cooling_deg_hrs,24,100.0
15,northwest_solar_rad_wm2,24,100.0
16,southwest_dewpoint_temp,24,100.0
17,toronto_mw,24,100.0
18,northeast_ppd,24,100.0
19,employment_rate,22,91.7
20,essa_cooling_deg_hrs,13,54.2
